place,place_address,station_name,station_address,distance
Parroquia de Nuestra Señora del Tránsito,CARRETERA CANILLAS 40,Bicipark Recuerdo,"Calle Hiedra, 26",2612.07
Parroquia de San Pedro Advincula,CALLE SIERRA GORDA 5,Bicipark Montalban,"Calle de Montalbán, 5",7303.87
Parroquia de San Pedro de los Dominicos,AVENIDA BURGOS 204,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1981.38
Parroquia de Santa Bárbara,CALLE GENERAL CASTA&amp;Ntilde;OS 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",149.71
Parroquia Nuestra Señora de Guadalupe,CALLE PUERTO RICO 1,Bicipark Orense,"Avenida General Perón, 27",1627.44
Parroquia San Millán y San Cayetano,Calle EMBAJADORES 15,Bicipark Canalejas,-,1046.28
Plaza de Toros de Las Ventas,Calle ALCALÁ 237,Bicipark Salamanca,Pl. del Marqués de Salamanca,1351.69
Plaza Mayor,Plaza MAYOR ,Bicipark Canalejas,-,723.27
Puerta del Sol,PLAZA PUERTA DEL SOL 1,Bicipark Canalejas,-,258.86
Real Academia de Bellas Artes de San Fernando,Calle ALCALÁ 13,Bicipark Canalejas,-,117.34
Real Academia de la Historia,CALLE LEON 21,Bicipark Canalejas,-,483.0
Real Academia Española de la Lengua,CALLE FELIPE IV 4,Bicipark Montalban,"Calle de Montalbán, 5",341.27
Real Basílica de San Francisco el Grande,Gran Vía SAN FRANCISCO 19,Bicipark Canalejas,-,1531.23
Real Casa de Correos,PLAZA PUERTA DEL SOL 7,Bicipark Canalejas,-,393.76
Real Casa de la Aduana (actual sede del Ministerio de Hacienda),CALLE ALCALA 5,Bicipark Canalejas,-,207.57
Real Colegiata de San Isidro,CALLE TOLEDO 37,Bicipark Canalejas,-,859.46
Real Jardín Botánico,PLAZA MURILLO 2,Bicipark Montalban,"Calle de Montalbán, 5",648.7
Real Monasterio de la Encarnación,Plaza ENCARNACION 1,Bicipark Canalejas,-,1075.07
Reforma del antiguo edificio de Unión Eléctrica,CALLE GRAN VIA 4,Bicipark Canalejas,-,225.77
Residencia de Estudiantes,CALLE PINAR 21,Bicipark Almagro,"Calle Almagro, 11",1215.63
Restos del Antiguo Palacio del Buen Retiro,CALLE FELIPE IV 1,Bicipark Montalban,"Calle de Montalbán, 5",342.05
