place,place_address,station_name,station_address,distance
Iglesia Parroquial de Santa Ana y Nuestra Señora de la Esperanza,CALLE CAÑADA 35,Marroquina,Calle Camino de los Vinateros nº 108,346.47
Ilustre Colegio Oficial de Médicos de Madrid,CALLE SANTA ISABEL 51,Museo Reina Sofía,Calle Santa Isabel nº 57,198.66
Instituto Cervantes (antiguo Banco Español del Río de la Plata),Calle ALCALÁ 49,Banco de España A,Calle Alcalá nº 49,37.07
Instituto del Patrimonio Cultural de España,CALLE PINTOR EL GRECO 4,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,553.92
La Casa Encendida,RONDA VALENCIA 2,Casa Encendida,Ronda de Atocha nº 34,44.5
Matadero y Mercado Municipal de Granados,PASEO CHOPERA 14,Entrada Matadero,Paseo de la Chopera nº 14,56.34
Medialab-Prado (antigua Serrería Belga),CALLE ALAMEDA 15,Almadén,Calle Almadén nº 28,56.5
Mercado de San Miguel,Plaza SAN MIGUEL ,Plaza de San Miguel,Plaza de San Miguel nº 9,49.28
"Ministerio de Agricultura, Pesca y Alimentación",PASEO INFANTA ISABEL 1,Atocha A,Paseo de la Infanta Isabel nº 3,123.63
Monasterio de las Descalzas Reales,Plaza DESCALZAS ,Plaza de Celenque A,Plaza de Celenque nº 1,141.14
Monasterio de Montserrat,CALLE SAN BERNARDO 79,San Hermenegildo,Calle San Bernardo nº 85,70.8
Museo Cerralbo,CALLE VENTURA RODRIGUEZ 17,Plaza de España A,Calle Princesa nº 5,131.5
Museo de América,AVENIDA REYES CATOLICOS 6,Moncloa,Paseo de Moret nº 2,380.72
Museo de Historia de Madrid. Museo Municipal de Madrid,CALLE FUENCARRAL 78,Barceló,Calle Barceló nº 7,113.89
Museo del Ferrocarril,PASEO DELICIAS 1,Ronda de Atocha,Ronda de Atocha nº 2,74.38
Museo Lázaro Galdiano,CALLE SERRANO 122,Paseo de la Castellana ,Paseo de la Castellana nº 43,293.09
Museo Nacional Centro de Arte Reina Sofía,CALLE SANTA ISABEL 52,Museo Reina Sofía,Calle Santa Isabel nº 57,59.42
Museo Nacional de Ciencias Naturales y Escuela Técnica Superior de Ingenieros Industriales,CALLE JOSE GUTIERREZ ABASCAL 2,José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2,95.87
Museo Nacional del Prado,PASEO PRADO 1,Cibeles,Plaza Cibeles,65.98
Museo Sorolla,Paseo GENERAL MARTINEZ CAMPOS 37,General Martínez Campos ,Calle Fernández de la Hoz nº 29,206.58
Museo Thyssen-Bornemisza (Palacio de Vistahermosa),PASEO PRADO 8,Marqués de Cubas,Calle del Marqués de Cubas nº 25,88.72
Nuevos Ministerios,CALLE AGUSTIN DE BETANCOURT 4,Agustín de Betancourt,Calle María de Guzmán nº 58,170.47
Observatorio Astronómico,CALLE ALFONSO XII 3,Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,45.49
Oficinas para Ramón López-Rumayor Lombera,Calle CONCEPCION ARENAL 1,Miguel Moya,Calle Miguel Moya nº 1,74.67
Oficinas para Vicente Patuel,Calle CHINCHILLA 9,Tres Cruces,Calle Tres Cruces nº 7,99.92
Oratorio del Caballero de Gracia,Calle CABALLERO DE GRACIA 5,Puerta del Sol A,Puerta del Sol nº 1,
Palacio de Altamira (Instituto Europeo del Diseño),Calle FLOR ALTA 8,San Bernardo,Calle San Bernardo nº 22,146.26
Palacio de Amboage (actual sede de la Embajada de Italia),CALLE LAGASCA 98,Embajada de Italia,Calle Velázquez nº 75,103.67
