address,dock_bikes,geometry
"Calle Carretas nº 8,",11,"{'type': 'Point', 'coordinates': [-3.7033305, 40.4165873]}"
"Plaza de Ramales,",17,"{'type': 'Point', 'coordinates': [-3.71183, 40.4168]}"
"Carrera de San Francisco nº 1,",2,"{'type': 'Point', 'coordinates': [-3.7115898, 40.4113586]}"
"Plaza del Conde de Romanones nº 9,",11,"{'type': 'Point', 'coordinates': [-3.7047949666162405, 40.413778406369765]}"
"Calle Santa Isabel 32,",9,"{'type': 'Point', 'coordinates': [-3.6982922, 40.4108488]}"
"Glorieta de la Puerta de Toledo nº 1,",6,"{'type': 'Point', 'coordinates': [-3.7111034, 40.4068659]}"
"Calle Ribera de Curtidores nº 28,",10,"{'type': 'Point', 'coordinates': [-3.7071259, 40.4053153]}"
"Ronda de Atocha nº 34,",7,"{'type': 'Point', 'coordinates': [-3.6992774, 40.4060533]}"
"Ronda de Atocha nº 2,",5,"{'type': 'Point', 'coordinates': [-3.6935205, 40.4075606]}"
"Calle Barceló nº 7,",6,"{'type': 'Point', 'coordinates': [-3.700392997553259, 40.426599101766264]}"
"Plaza del Carmen nº 1,",3,"{'type': 'Point', 'coordinates': [-3.7032414, 40.4184192]}"
"Calle Augusto Figueroa nº 33,",13,"{'type': 'Point', 'coordinates': [-3.6978583, 40.4222783]}"
"Calle O'Donnell nº 28,",5,"{'type': 'Point', 'coordinates': [-3.6753139, 40.4214551]}"
"Calle Ibiza nº 62,",6,"{'type': 'Point', 'coordinates': [-3.6708959, 40.4179237]}"
"Calle Antonio Maura nº 15,",9,"{'type': 'Point', 'coordinates': [-3.689424797942769, 40.4167014469994]}"
"Calle Almadén nº 28,",4,"{'type': 'Point', 'coordinates': [-3.693225, 40.4108472]}"
"Calle Espalter nº 1,",13,"{'type': 'Point', 'coordinates': [-3.6913232, 40.4127692]}"
"Avenida de Alfonso XII nº 54,",7,"{'type': 'Point', 'coordinates': [-3.688822, 40.409808]}"
"Avenida de Menéndez Pelayo nº 63,",10,"{'type': 'Point', 'coordinates': [-3.677872542327878, 40.415382385574716]}"
"Calle Doce de Octubre nº 28,",8,"{'type': 'Point', 'coordinates': [-3.6739, 40.4161]}"
"Calle Doctor Esquerdo nº 99,",5,"{'type': 'Point', 'coordinates': [-3.6696, 40.4159]}"
"Avenida de Nazaret nº 7,",7,"{'type': 'Point', 'coordinates': [-3.6687, 40.4115]}"
"Avenida de Menéndez Pelayo nº 69,",10,"{'type': 'Point', 'coordinates': [-3.676588763788984, 40.41206290978386]}"
