address,dock_bikes,geometry
"Calle San Jenaro, 1,",7,"{'type': 'Point', 'coordinates': [-3.7043083, 40.3500291]}"
"Calle  Diamante, 10,",7,"{'type': 'Point', 'coordinates': [-3.6877534, 40.3532609]}"
"Calle Doctor Martín Arévalo, 19,",6,"{'type': 'Point', 'coordinates': [-3.70765, 40.34587]}"
"Calle Gallur, 5,",13,"{'type': 'Point', 'coordinates': [-3.7359, 40.3984]}"
"Calle de las Higueras, 49,",14,"{'type': 'Point', 'coordinates': [-3.745096152114864, 40.40457132475174]}"
"Hacienda de Pavones, 148,",4,"{'type': 'Point', 'coordinates': [-3.6419, 40.4026]}"
"Calle de la Maquinilla,",9,"{'type': 'Point', 'coordinates': [-3.63648424, 40.38078101]}"
"Calle del Marques de Viana,91. Madrid ,",1,"{'type': 'Point', 'coordinates': [-3.7045684, 40.4637825]}"
"C Sierra de Guadalupe, 11,",4,"{'type': 'Point', 'coordinates': [-3.62376457, 40.38135158]}"
"Calle de la Verdad, 14c,",0,"{'type': 'Point', 'coordinates': [-3.71716, 40.391787]}"
"Calle Algorta, 2,",5,"{'type': 'Point', 'coordinates': [-3.72745169, 40.39162261454714]}"
"Paseo de los Jesuitas  67,",13,"{'type': 'Point', 'coordinates': [-3.7351, 40.408]}"
"Avenida Cordoba, 21,",19,"{'type': 'Point', 'coordinates': [-3.697856, 40.38268]}"
"Calle de Candilejas, 5,",17,"{'type': 'Point', 'coordinates': [-3.66300383, 40.38263599]}"
"Calle Puerto de Balbaran, 10,",22,"{'type': 'Point', 'coordinates': [-3.655868, 40.3762374]}"
"Calle de Cabeza Mesada, 5,",7,"{'type': 'Point', 'coordinates': [-3.629413, 40.37647902]}"
"Avenida de Orovilla, 53,",6,"{'type': 'Point', 'coordinates': [-3.6895, 40.3587]}"
"Avenida Monforte de Lemos, 17,",2,"{'type': 'Point', 'coordinates': [-3.6965, 40.4795]}"
"Calle Melchor Fernandez Almagro, 80,",16,"{'type': 'Point', 'coordinates': [-3.710326199999999, 40.4756475]}"
"Calle Valle de Mena, 5,",9,"{'type': 'Point', 'coordinates': [-3.71527245, 40.46962735]}"
"Paseo de la Chopera, 53,",0,"{'type': 'Point', 'coordinates': [-3.6974, 40.3929]}"
"Paseo de la Florida, 37,",0,"{'type': 'Point', 'coordinates': [-3.72317757, 40.42276114]}"
"Calle Santo Ángel de la Guarda , 6,",2,"{'type': 'Point', 'coordinates': [-3.71222067, 40.46099696]}"
"Calle Serrano Galvache,",5,"{'type': 'Point', 'coordinates': [-3.6679379, 40.471382]}"
"Calle Puertollano,",0,"{'type': 'Point', 'coordinates': [-3.6237372, 40.4425157]}"
"Calle Gallegos,",22,"{'type': 'Point', 'coordinates': [-3.6102747, 40.40240379]}"
"Calle del Arroyo del Olivar, 63,",15,"{'type': 'Point', 'coordinates': [-3.653269, 40.388435]}"
"Calle Manuel Uribe, 1,",0,"{'type': 'Point', 'coordinates': [-3.66503419, 40.46434131]}"
"422 - Travesia de Palomeras, 7,",9,"{'type': 'Point', 'coordinates': [-3.6705179, 40.39017003]}"
"Avenida de Entrevias, 56,",21,"{'type': 'Point', 'coordinates': [-3.66855013, 40.38138801]}"
"Camino de Valderribas, 47,",20,"{'type': 'Point', 'coordinates': [-3.663958, 40.4002231]}"
"Calle Ramon Perez de Ayala, 45,",1,"{'type': 'Point', 'coordinates': [-3.65381017, 40.40003472]}"
"Calle Humanes, 3,",10,"{'type': 'Point', 'coordinates': [-3.64932678, 40.3952121]}"
"Calle de los Andaluces, 2,",9,"{'type': 'Point', 'coordinates': [-3.64148304, 40.3914244]}"
"Avenida de la Albufera,",10,"{'type': 'Point', 'coordinates': [-3.6571, 40.3919]}"
"Serrano Galvache, 56,",2,"{'type': 'Point', 'coordinates': [-3.67144504, 40.47675257]}"
"Hermanos Garcia Noblejas, 158,",3,"{'type': 'Point', 'coordinates': [-3.62888094, 40.42427523]}"
"Calle Ricardo Ortiz, 33,",9,"{'type': 'Point', 'coordinates': [-3.65796439, 40.42657032]}"
"Calle de Bacares, 20,",17,"{'type': 'Point', 'coordinates': [-3.66269029, 40.47675499]}"
"Calle de San Roman del Valle, 20,",3,"{'type': 'Point', 'coordinates': [-3.623466935545257, 40.42309928573645]}"
"Calle Zaldivar,",0,"{'type': 'Point', 'coordinates': [-3.62650373, 40.43209033]}"
"Calle Mercedes Arteaga, 21,",20,"{'type': 'Point', 'coordinates': [-3.722217570475459, 40.39251608002938]}"
"Calle El Greco, 27,",7,"{'type': 'Point', 'coordinates': [-3.74726153, 40.40741199]}"
"Calle del Arroyo Belincoso, 26,",13,"{'type': 'Point', 'coordinates': [-3.65256604, 40.40991083]}"
"Corregidor licenciado Antonio de Mena, sn,",4,"{'type': 'Point', 'coordinates': [-3.6408, 40.4099]}"
"Calle Portalegre, 7,",18,"{'type': 'Point', 'coordinates': [-3.72364769, 40.38937686]}"
"Avenida Monforte de Lemos, 123,",4,"{'type': 'Point', 'coordinates': [-3.70997335, 40.47810429]}"
"Calle Melchor Fernandez Almagro, 16,",5,"{'type': 'Point', 'coordinates': [-3.69962571, 40.47772776]}"
"Ginzo de Limia, 36,",16,"{'type': 'Point', 'coordinates': [-3.703526, 40.47817]}"
"Calle Chantada, 2,",0,"{'type': 'Point', 'coordinates': [-3.71060269, 40.47267127]}"
"Calle Zapatoca, 8,",1,"{'type': 'Point', 'coordinates': [-3.63335803, 40.47285235]}"
"Plaza Mayor de Barajas, 24,",10,"{'type': 'Point', 'coordinates': [-3.5776537, 40.4733252]}"
"Calle Soto Hidalgo, 2,",24,"{'type': 'Point', 'coordinates': [-3.5820745, 40.4606465]}"
"Calle Esteban Collantes,",0,"{'type': 'Point', 'coordinates': [-3.6376002, 40.4328536]}"
"Paseo Reina Cristina,6,",14,"{'type': 'Point', 'coordinates': [-3.6831862, 40.4067247]}"
"Ronda de la comunicacion,",3,"{'type': 'Point', 'coordinates': [-3.6626887, 40.5157202]}"
"calle Moncada 102,",0,"{'type': 'Point', 'coordinates': [-3.692444, 40.341725]}"
"Calle Eduardo Barreiros 114,",10,"{'type': 'Point', 'coordinates': [-3.704701, 40.355367]}"
"Calle Sangenjo,",0,"{'type': 'Point', 'coordinates': [-3.70379, 40.41678]}"
"calle de la huerta de castañeda 26,",20,"{'type': 'Point', 'coordinates': [-3.74201882097404, 40.40622095698234]}"
"calle Gregorio Sánchez Herráez 14,",8,"{'type': 'Point', 'coordinates': [-3.63657, 40.477248]}"
"Calle Oña s/n,",5,"{'type': 'Point', 'coordinates': [-3.6658565, 40.4891872]}"
"calle Ana de Austria s/n,",0,"{'type': 'Point', 'coordinates': [-3.6531502, 40.4994394]}"
"Avd Fuerzas Armadas (Cercanias Valdebebas),",21,"{'type': 'Point', 'coordinates': [-3.6157178, 40.4819961]}"
"Paseo de Puerta del Angel, 10 ( metro Lago),",12,"{'type': 'Point', 'coordinates': [-3.7345247, 40.4167792]}"
"Calle Estella, 21,",5,"{'type': 'Point', 'coordinates': [-3.6743568, 40.4968198]}"
"Paseo de los Pontones, 45,",16,"{'type': 'Point', 'coordinates': [-3.7196, 40.4040433]}"
"Calle Luis de Salazar, 11,",7,"{'type': 'Point', 'coordinates': [-3.6649258, 40.4474166]}"
"Rafaela Aparicio, 10,",20,"{'type': 'Point', 'coordinates': [-3.6312179, 40.4792396]}"
"Calle Berrocal, 9,",24,"{'type': 'Point', 'coordinates': [-3.67615, 40.344115]}"
"Plaza de San Francisco nº 5,",15,"{'type': 'Point', 'coordinates': [-3.714113, 40.4108]}"
"Tomas Redondo, 7,",4,"{'type': 'Point', 'coordinates': [-3.62913802, 40.47178414]}"
Glorieta Marqués de Vadillo nº 9,1,"{'type': 'Point', 'coordinates': [-3.716591, 40.398247]}"
"Paseo virgen de puerto,",14,"{'type': 'Point', 'coordinates': [-3.721178, 40.411622]}"
"Menéndez Pelayo, entrada Florida Park,",3,"{'type': 'Point', 'coordinates': [-3.6787796, 40.4181327]}"
"Calle Mayor s/n,",0,"{'type': 'Point', 'coordinates': [-3.70379, 40.41678]}"
"Avda de la Gran Vía de San Francisco, 9 ,",10,"{'type': 'Point', 'coordinates': [-3.712793282384579, 40.40833880815136]}"
" Calle Babilonia, 19,",12,"{'type': 'Point', 'coordinates': [-3.5882347, 40.4675299]}"
"Calle Ginzio de Limia, 47,",9,"{'type': 'Point', 'coordinates': [-3.7069041, 40.4833705]}"
"Camino de Ganapanes, 40,",9,"{'type': 'Point', 'coordinates': [-3.7163093, 40.4764797]}"
"Calle San Modesto, 42,",4,"{'type': 'Point', 'coordinates': [-3.692627, 40.4860555]}"
"Calle Escalona, 2,",5,"{'type': 'Point', 'coordinates': [-3.76182259, 40.39834576]}"
"Avda del Padre Piquer s/n,",6,"{'type': 'Point', 'coordinates': [-3.7664844, 40.3907438]}"
"Avda de las Aguilas, 27,",10,"{'type': 'Point', 'coordinates': [-3.768603, 40.383554]}"
"Paseo de la Venta, 1,",5,"{'type': 'Point', 'coordinates': [-3.7528559, 40.4077495]}"
"Carretera del ZOO, s/n (M. Casa Campo),",4,"{'type': 'Point', 'coordinates': [-3.761051, 40.40316]}"
"Calle de las Rosas de Aravaca, s/n,",8,"{'type': 'Point', 'coordinates': [-3.7845536, 40.4490509]}"
"Calle Felipe IV, 3,",1,"{'type': 'Point', 'coordinates': [-3.6919057, 40.4152082]}"
"564 - Avda del Partenon, 16,",10,"{'type': 'Point', 'coordinates': [-3.613867, 40.463861]}"
"Calle Caños de San Pedro, 12,",5,"{'type': 'Point', 'coordinates': [-3.601920499999999, 40.4029976]}"
"465 - Cordel de Pavones, 48,",19,"{'type': 'Point', 'coordinates': [-3.619645, 40.397375]}"
"414 -  Calle de Santa Petronila, 7,",5,"{'type': 'Point', 'coordinates': [-3.692163, 40.350985]}"
"Calle de la Oca, 20,",8,"{'type': 'Point', 'coordinates': [-3.7335492, 40.3894333]}"
"411 - Calle Domingo Párraga,",1,"{'type': 'Point', 'coordinates': [-3.7118183, 40.3417533]}"
"318 - Calle Santa Pola, 22,",15,"{'type': 'Point', 'coordinates': [-3.7370276473602226, 40.43205131007265]}"
"549 - Avd. Francisco PI y Maragall, 33,",16,"{'type': 'Point', 'coordinates': [-3.6503544, 40.4866354]}"
"279 - Paseo de los Melancólicos, 1,",11,"{'type': 'Point', 'coordinates': [-3.7184816, 40.4104448]}"
"Calle Carmen de Burgos, 4,",16,"{'type': 'Point', 'coordinates': [-3.6847883, 40.3575459]}"
"Paseo de las Yeserías, 15,",6,"{'type': 'Point', 'coordinates': [-3.7099166, 40.39900539]}"
"340 - Calle Illescas, 1C,",6,"{'type': 'Point', 'coordinates': [-3.7656976, 40.3970983]}"
"Calle Osa de la Vega, 25-103,",3,"{'type': 'Point', 'coordinates': [-3.773381, 40.374979]}"
"381 - Alfredo Aleix, 7,",13,"{'type': 'Point', 'coordinates': [-3.7553916, 40.3684767]}"
"444 - Calle de Valderrobollo, 18,",20,"{'type': 'Point', 'coordinates': [-3.6276352, 40.3743481]}"
"Avda del Ensanche de Vallecas, 80,",14,"{'type': 'Point', 'coordinates': [-3.599352, 40.363376]}"
"Calle de los Pinillas, 19,",7,"{'type': 'Point', 'coordinates': [-3.6211485, 40.3987974]}"
"473 - Calle de Vilablanca, frente  85,",10,"{'type': 'Point', 'coordinates': [-3.59888007, 40.40500033]}"
"Calle San Cipriano, 124,",9,"{'type': 'Point', 'coordinates': [-3.596875, 40.402255]}"
"541- Avda. Gran Vía de Hortaleza, 68,",9,"{'type': 'Point', 'coordinates': [-3.6468591, 40.4682706]}"
"546 - Calle Andorra, 6,",6,"{'type': 'Point', 'coordinates': [-3.6467519, 40.4628976]}"
"550 - Calle del Príncipe Carlos, 54,",10,"{'type': 'Point', 'coordinates': [-3.656674, 40.4941108]}"
"553 - Calle de María de Portugal, 24,",13,"{'type': 'Point', 'coordinates': [-3.658921, 40.499909]}"
"601 -  Estación  Cerc. Fuencarral-El Pardo, ,",1,"{'type': 'Point', 'coordinates': [-3.6824687, 40.5015588]}"
"C. de Castiello de Jaca, 14,",2,"{'type': 'Point', 'coordinates': [-3.6782027, 40.5091982]}"
"Calle Francisco de Tejada, 1,",21,"{'type': 'Point', 'coordinates': [-3.739615781020349, 40.40937950320982]}"
"Calle Rafaela Ybarra, 22,Comunidad de Madrid España",13,"{'type': 'Point', 'coordinates': [-3.711296220901499, 40.3817026328731]}"
"Calle del tejo,",12,"{'type': 'Point', 'coordinates': [-3.679186, 40.39663]}"
"Calle Cerro de la Plata nº 2,",20,"{'type': 'Point', 'coordinates': [-3.6745240600494444, 40.40063747422422]}"
"311 - Calle del Profesor Aranguren, 1,",5,"{'type': 'Point', 'coordinates': [-3.733574, 40.448553]}"
"Calle Miguel Moya nº 1,",5,"{'type': 'Point', 'coordinates': [-3.70569, 40.4204]}"
"Fernando Gabriel , 5,",13,"{'type': 'Point', 'coordinates': [-3.63949891, 40.42466356]}"
"Calle de Alan Turing,",9,"{'type': 'Point', 'coordinates': [-3.62713659, 40.3901675]}"
"Avenida de Menéndez Pelayo nº 38,",20,"{'type': 'Point', 'coordinates': [-3.6804398243230696, 40.405110193977585]}"
"c/ Valcarlos 20,Comunidad de Madrid España",0,"{'type': 'Point', 'coordinates': [-3.6641571, 40.5051915]}"
"Bardegueral 15,Comunidad de Madrid España",0,"{'type': 'Point', 'coordinates': [-3.7719097, 40.4501721]}"
"Calle de la Isla Graciosa, 2,",1,"{'type': 'Point', 'coordinates': [-3.6862657, 40.49262243]}"
"Plaza de Celenque nº 1,",5,"{'type': 'Point', 'coordinates': [-3.7058976, 40.4173687]}"
"Cuesta de Claudio Moyano,",4,"{'type': 'Point', 'coordinates': [-3.691833220071059, 40.40934261188139]}"
"Calle Mesón de Paredes nº 35,",18,"{'type': 'Point', 'coordinates': [-3.7038640533106593, 40.40979071254635]}"
"Jacinto Verdaguer,",19,"{'type': 'Point', 'coordinates': [-3.7160526116262793, 40.39593854704345]}"
"Calle de Úbeda,  27,",8,"{'type': 'Point', 'coordinates': [-3.7149566, 40.4825507]}"
"Avenida Moratalaz, 25,",10,"{'type': 'Point', 'coordinates': [-3.66000272, 40.40750626]}"
"Calle Goya nº 1,",5,"{'type': 'Point', 'coordinates': [-3.6893361690338167, 40.42575853342561]}"
"Calle del Cobre (Metro Arganzuela Planetario),",16,"{'type': 'Point', 'coordinates': [-3.689031463575172, 40.39338327980599]}"
"Calle de la Via,",16,"{'type': 'Point', 'coordinates': [-3.7182338, 40.3854641]}"
"Paseo de la Castellana nº 4,",3,"{'type': 'Point', 'coordinates': [-3.68958, 40.42677]}"
"Calle Serrano nº 54,",1,"{'type': 'Point', 'coordinates': [-3.6875418, 40.4270832]}"
"Calle Serrano nº 32,",5,"{'type': 'Point', 'coordinates': [-3.68789, 40.424776]}"
"Calle Serrano nº 8,",4,"{'type': 'Point', 'coordinates': [-3.6883841104507464, 40.42156087297841]}"
"Calle Mártires Concepcionistas nº 2,",3,"{'type': 'Point', 'coordinates': [-3.670652, 40.427402]}"
"Calle José Ortega y Gasset nº 30,",4,"{'type': 'Point', 'coordinates': [-3.6814521, 40.4301245]}"
"Paseo de Moret nº 2,",1,"{'type': 'Point', 'coordinates': [-3.7201021, 40.434745]}"
"Calle Arcipreste de Hita nº 12,",5,"{'type': 'Point', 'coordinates': [-3.7175435, 40.4337322]}"
"Calle Arcipreste de Hita nº 12,",3,"{'type': 'Point', 'coordinates': [-3.7179687, 40.4341006]}"
"Paseo de Moret nº 11,",4,"{'type': 'Point', 'coordinates': [-3.724736, 40.4326901]}"
"Paseo del Pintor Rosales frente al nº 38,",4,"{'type': 'Point', 'coordinates': [-3.7207263, 40.427538]}"
"Calle Quintana nº 13,",13,"{'type': 'Point', 'coordinates': [-3.7174631, 40.4278379]}"
"Calle Evaristo San Miguel nº 2,",2,"{'type': 'Point', 'coordinates': [-3.7170515055225373, 40.42531476841791]}"
"Calle Princesa nº 5,",10,"{'type': 'Point', 'coordinates': [-3.713053, 40.423668]}"
"Calle Princesa nº 5,",9,"{'type': 'Point', 'coordinates': [-3.710537, 40.423681]}"
"Calle Altamirano nº 24,",17,"{'type': 'Point', 'coordinates': [-3.7188898, 40.4309797]}"
"Calle Juan Martín el Empecinado nº 16,",16,"{'type': 'Point', 'coordinates': [-3.6882407, 40.400781]}"
"Calle Méndez Álvaro nº 11,",7,"{'type': 'Point', 'coordinates': [-3.6862653, 40.4012905]}"
"Calle Palos de la Frontera nº 27,",5,"{'type': 'Point', 'coordinates': [-3.6948251018524214, 40.403090451430614]}"
"Paseo de Santa María de la Cabeza nº 58,",10,"{'type': 'Point', 'coordinates': [-3.6986027, 40.4017487]}"
"Calle Santa Engracia nº 14,",6,"{'type': 'Point', 'coordinates': [-3.6963659, 40.4295362]}"
"Calle Guzmán el Bueno nº 1,",3,"{'type': 'Point', 'coordinates': [-3.7133412, 40.4306458]}"
"Calle Manuel Silvela nº 20,",5,"{'type': 'Point', 'coordinates': [-3.6993695, 40.430969]}"
"Calle San Delfín nº 9,",18,"{'type': 'Point', 'coordinates': [-3.7080429728445563, 40.39440607959559]}"
"Calle Jose del Hierro nº 5,",9,"{'type': 'Point', 'coordinates': [-3.6486508, 40.4369378]}"
"Calle Carlota O'Neill nº 32,",5,"{'type': 'Point', 'coordinates': [-3.6488254, 40.4436792]}"
"Calle Derechos Humanos nº 12,",16,"{'type': 'Point', 'coordinates': [-3.6557193, 40.4398283]}"
"Calle José María de Pereda nº 1,",4,"{'type': 'Point', 'coordinates': [-3.6486169, 40.4327663]}"
"Avenida Marqués de Corbera nº 12,",18,"{'type': 'Point', 'coordinates': [-3.6555789, 40.4229522]}"
"Avenida Marqués de Corbera nº 52,",19,"{'type': 'Point', 'coordinates': [-3.6510917, 40.4261278]}"
"Calle Sodio nº 1B,",20,"{'type': 'Point', 'coordinates': [-3.691076, 40.389041]}"
"Paseo Imperial nº 20,",23,"{'type': 'Point', 'coordinates': [-3.7170785, 40.4075794]}"
"Calle San Germán nº 5,",5,"{'type': 'Point', 'coordinates': [-3.6932611, 40.4561825]}"
"Calle Francos Rodríguez nº 62,",4,"{'type': 'Point', 'coordinates': [-3.7078331, 40.4567132]}"
"Avenida de Brasilia frente al nº 9,",21,"{'type': 'Point', 'coordinates': [-3.66096, 40.43666]}"
"Avenida de Camilo José Cela nº 23,",4,"{'type': 'Point', 'coordinates': [-3.66779, 40.4378]}"
"Avenida Bruselas nº 56,",5,"{'type': 'Point', 'coordinates': [-3.662928, 40.439513]}"
"Calle Cartagena nº 34,",8,"{'type': 'Point', 'coordinates': [-3.67012, 40.43503]}"
"Calle Isaac Peral nº 44,",2,"{'type': 'Point', 'coordinates': [-3.71757, 40.44003]}"
"Calle Galileo nº 63,",1,"{'type': 'Point', 'coordinates': [-3.7101381, 40.4363637]}"
"Calle Santa Engracia nº 87,",9,"{'type': 'Point', 'coordinates': [-3.6992484724046637, 40.43595788149785]}"
"Calle Zurbano nº 90,",6,"{'type': 'Point', 'coordinates': [-3.69281, 40.43837]}"
"Calle Sinesio Delgado nº 2,",3,"{'type': 'Point', 'coordinates': [-3.6879973, 40.4743209]}"
"Paseo de la Castellana nº 298,",7,"{'type': 'Point', 'coordinates': [-3.6853186, 40.4795018]}"
"Calle Serrano nº 113B,",2,"{'type': 'Point', 'coordinates': [-3.6858096, 40.4406491]}"
"Calle Santa Hortensia nº 31,",12,"{'type': 'Point', 'coordinates': [-3.66683, 40.44421]}"
"Calle Rodríguez Jaén nº 40,",7,"{'type': 'Point', 'coordinates': [-3.6839695, 40.4717403]}"
"Calle Doctor Fleming nº 7,",3,"{'type': 'Point', 'coordinates': [-3.68844, 40.45546]}"
"Calle General López Pozas nº 2,",3,"{'type': 'Point', 'coordinates': [-3.685292, 40.46361]}"
"Calle Beatriz de Bobadilla frente al nº 2,",2,"{'type': 'Point', 'coordinates': [-3.71383, 40.44635]}"
"Avenida Juan de Herrera frente a la calle Paul Guinard,",14,"{'type': 'Point', 'coordinates': [-3.730527, 40.438873]}"
"Avenida de la Complutense (Metro Ciudad Universitaria),",5,"{'type': 'Point', 'coordinates': [-3.726939, 40.444311]}"
"Avenida de la Complutense (Metro Ciudad Universitaria),",6,"{'type': 'Point', 'coordinates': [-3.726752004160312, 40.44270528449462]}"
"Calle José Antonio Novais frente al nº 12,",0,"{'type': 'Point', 'coordinates': [-3.7272945, 40.4483322]}"
"Avenida Complutense nº 23,",3,"{'type': 'Point', 'coordinates': [-3.7296756, 40.4505516]}"
"Amparo Usera , 46,",19,"{'type': 'Point', 'coordinates': [-3.7061449, 40.38707469]}"
"Doctor Tolosa Latour, 7,",23,"{'type': 'Point', 'coordinates': [-3.70041478, 40.37837955]}"
"Calle Campotejar , 25,",16,"{'type': 'Point', 'coordinates': [-3.70388671, 40.36721104]}"
"Avenida de la Perla, 35,",21,"{'type': 'Point', 'coordinates': [-3.69397301, 40.3700018]}"
"Avenida de los Poblados, 130,",20,"{'type': 'Point', 'coordinates': [-3.71331521, 40.37347443]}"
"Avenida Ramon y Cajal, 101,",14,"{'type': 'Point', 'coordinates': [-3.662016, 40.453493]}"
"Misterios,1,",2,"{'type': 'Point', 'coordinates': [-3.638904, 40.438278]}"
"Jose del Hierro , 69,",2,"{'type': 'Point', 'coordinates': [-3.6410572, 40.44152084]}"
"Angel Muñoz, 1,",6,"{'type': 'Point', 'coordinates': [-3.6558371312827975, 40.45478362295884]}"
"Vicente Muzas, 12,",6,"{'type': 'Point', 'coordinates': [-3.66044255, 40.45903315]}"
"Diego Ayllon, 2,",3,"{'type': 'Point', 'coordinates': [-3.65219063, 40.45117857]}"
"Calle Velero (metro el capricho), 17,Comunidad de Madrid España",14,"{'type': 'Point', 'coordinates': [-3.5941, 40.453]}"
"Avenida Burgos, 17,",4,"{'type': 'Point', 'coordinates': [-3.6757900294303902, 40.473593878889254]}"
"Campuzano, 1,",5,"{'type': 'Point', 'coordinates': [-3.6424, 40.4359]}"
"Calle Marcelino Alvarez, 35,",6,"{'type': 'Point', 'coordinates': [-3.6534324, 40.4297428]}"
"Calle Luis Campos, 3,",6,"{'type': 'Point', 'coordinates': [-3.632389, 40.42893071]}"
"Calle de la Carretera de Canillas, 40,",15,"{'type': 'Point', 'coordinates': [-3.65089253, 40.4628701]}"
"Calle Santa Maria Magdalena, 15,",3,"{'type': 'Point', 'coordinates': [-3.6706, 40.4631]}"
"Plaza Duque Pastrana, 1,",4,"{'type': 'Point', 'coordinates': [-3.6779, 40.4679]}"
"Calle de la Yuca, 1,",2,"{'type': 'Point', 'coordinates': [-3.6762, 40.4765]}"
"Memorial 11 Marzo de 2004, 28,",4,"{'type': 'Point', 'coordinates': [-3.6723, 40.4664]}"
"Glorieta Luis Rosales, sn,",8,"{'type': 'Point', 'coordinates': [-3.6543, 40.4673]}"
"Luis de Hoyos Sainz, 198,",14,"{'type': 'Point', 'coordinates': [-3.62927465, 40.400094]}"
"Encomienda de Palacios, 8,",10,"{'type': 'Point', 'coordinates': [-3.6464, 40.4005]}"
"Calle Ramirez Tome, 31,",3,"{'type': 'Point', 'coordinates': [-3.6459739361763055, 40.38875618103898]}"
"Calle de Romeo y Julieta, 12,",24,"{'type': 'Point', 'coordinates': [-3.66217563, 40.37873799]}"
"Calle Puerto de Arlaban, 83,",11,"{'type': 'Point', 'coordinates': [-3.6675, 40.3864]}"
"Calle Cronos , 14,",21,"{'type': 'Point', 'coordinates': [-3.6194333, 40.4384695]}"
"Hermanos Garcia Noblejas, 133,",16,"{'type': 'Point', 'coordinates': [-3.6242, 40.4191]}"
"Calle Alcalá, 546,",13,"{'type': 'Point', 'coordinates': [-3.6178317, 40.44313349999999]}"
"Calle Alcala, 590,",3,"{'type': 'Point', 'coordinates': [-3.6121996, 40.4466561]}"
"Calle Aracne, 17,",22,"{'type': 'Point', 'coordinates': [-3.5895, 40.445]}"
"Calle Alcalá, 506,",3,"{'type': 'Point', 'coordinates': [-3.6274, 40.4407]}"
"Calle Comandante Fontanes, 1,",17,"{'type': 'Point', 'coordinates': [-3.721173399999999, 40.3950918]}"
"Calle de Ervigio,",16,"{'type': 'Point', 'coordinates': [-3.7315, 40.3947]}"
"Julio Merino, 5,",18,"{'type': 'Point', 'coordinates': [-3.7032, 40.3831]}"
"Calle de la Avena, 10,",17,"{'type': 'Point', 'coordinates': [-3.7159, 40.3773]}"
"Avenida de Cantabria, 6,",11,"{'type': 'Point', 'coordinates': [-3.58772201, 40.45462514]}"
"Paseo de la Alameda de Osuna, 48,",0,"{'type': 'Point', 'coordinates': [-3.59812171, 40.45476837]}"
"Francisco Villaespesa, 39,",7,"{'type': 'Point', 'coordinates': [-3.6464629, 40.4293263]}"
"Calle Arzobispo Morcillo, 6,",7,"{'type': 'Point', 'coordinates': [-3.6938, 40.4815]}"
"Calle de Costa Verde, 24,",4,"{'type': 'Point', 'coordinates': [-3.696862, 40.469477]}"
"Calle Simancas, 2,",2,"{'type': 'Point', 'coordinates': [-3.69511298, 40.4655]}"
"Avenida Pío XII nº 3,",1,"{'type': 'Point', 'coordinates': [-3.67656, 40.461]}"
"Plaza de San Miguel nº 9,",0,"{'type': 'Point', 'coordinates': [-3.7095084, 40.4156057]}"
"Plaza de Celenque nº 1,",3,"{'type': 'Point', 'coordinates': [-3.7057791, 40.4173703]}"
"Calle Fernández de la Hoz nº 29,",10,"{'type': 'Point', 'coordinates': [-3.6948, 40.4353]}"
"Calle del General Álvarez de Castro nº 1,",3,"{'type': 'Point', 'coordinates': [-3.7018044, 40.4345976]}"
"Calle Fernando el Católico nº 19,",1,"{'type': 'Point', 'coordinates': [-3.708439, 40.4338516]}"
"Calle Cea Bermúdez nº 59,",7,"{'type': 'Point', 'coordinates': [-3.7154, 40.4392]}"
"Calle José Abascal nº 33,",4,"{'type': 'Point', 'coordinates': [-3.6982353, 40.4383865]}"
"Calle Santa Engracia nº 127,",1,"{'type': 'Point', 'coordinates': [-3.70164, 40.44156]}"
"Calle Bravo Murillo nº 44,",4,"{'type': 'Point', 'coordinates': [-3.70403123, 40.4417884]}"
"Calle Santa Engracia nº 168,",1,"{'type': 'Point', 'coordinates': [-3.703605250412747, 40.446377501314885]}"
"Calle Raimundo Fernández Villaverde nº 33,",2,"{'type': 'Point', 'coordinates': [-3.7001669, 40.447125]}"
"Calle María de Guzmán nº 58,",3,"{'type': 'Point', 'coordinates': [-3.6955687, 40.4441818]}"
"Plaza de San Juan de la Cruz nº 11,",1,"{'type': 'Point', 'coordinates': [-3.6929857, 40.4411852]}"
"Paseo de la Castellana nº 106,",4,"{'type': 'Point', 'coordinates': [-3.690769, 40.4451244]}"
"Plaza de la República Argentina nº 6,",3,"{'type': 'Point', 'coordinates': [-3.6852485, 40.4457656]}"
"Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,",1,"{'type': 'Point', 'coordinates': [-3.6914063, 40.4457414]}"
"Calle José Gutiérrez Abascal nº 2,",10,"{'type': 'Point', 'coordinates': [-3.690419307270818, 40.43939562033124]}"
"Calle Velázquez nº 130,",2,"{'type': 'Point', 'coordinates': [-3.6830583, 40.4387566]}"
"Paseo de la Castellana nº 43,",0,"{'type': 'Point', 'coordinates': [-3.6893917, 40.4354047]}"
"Paseo de la Castellana nº 42,",3,"{'type': 'Point', 'coordinates': [-3.6879154, 40.4334087]}"
"Calle General Pardiñas nº 56,",11,"{'type': 'Point', 'coordinates': [-3.6783016, 40.4289804]}"
"Calle Juan Bravo nº 50,",8,"{'type': 'Point', 'coordinates': [-3.675556, 40.4324081]}"
"Calle Ortega y Gasset nº 87,",5,"{'type': 'Point', 'coordinates': [-3.6712823, 40.429887]}"
"Calle María Francisca nº 3,",4,"{'type': 'Point', 'coordinates': [-3.6788499, 40.4442541]}"
